Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,100nF/100V,C28233
"C10, C14, C20",0402,3,1uF/25V,C52923
"C11, C13, C16, C17, C18, C23, C26",0402,7,100nF/50V,C307331
"C12, C15, C19, C25, C6",0603,5,10uF/10V,C19702
C2,CP_Elec_8x10.5,1,22uF/100V,C178570
C21,0402,1,470pF/50V,C1537
C22,1206,1,1nF/2kV,C161353
"C24, C8, C9",1206,3,22uF/10V,C5672
C4,0603,1,12pF/50V,C38523
C5,CP_Elec_8x10.5,1,470uF/16V,C96179
C7,0402,1,22pF/50V,C1555
D1,D_SMA,1,SMAJ58A,C132936
"D10, D9",D_SOD-123,2,1N4148,C81598
D2,D_SMA,1,SS510,C65010
"D3, D4",D_SMA,2,SS34,C8678
"D5, D7, D8",0603,3,WHITE,C2290
D6,SOT-23-5,1,ESDS314DBV,C1847859
F1,1206,1,500mA,C151133
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
J2,RJ45_HanRun_HY931147C,1,RJ45 JACK,C91754
"J3, J4",TerminalBlock_Dibo_DB142R-5.08-2P_1x02_P5.08mm_Horizontal,2,"1x2P 5,08mm",C475144
"K1, K2",Relay_SPST_Omron_G5NB-1A,2,G5NB-1A-E-DC5,C48746
L1,L_12x12mm_h6mm,1,"33uH/2,1A",C169386
L2,L_3x3mm_h1.5mm,1,"2,2uH/1,5A",C370424
L3,0805,1,2A/600R,C139168
Q1,SOT-363_SC-70-6,1,UMH3N,C62892
Q2,SOT-23,1,WPM2015-3/TR,C558305
Q3,SOT-23,1,LMUN2211LT1G,C150229
"Q4, Q5",SOT-23,2,MMBT2222A,C8512
R1,0402,1,"130k/62,5mW",C93946
R10,0603,1,"52,3k/100mW",C185323
R11,0603,1,820R/100mW,C23253
R12,0805,1,"100k/0,125W",C149504
R13,0805,1,"22,1k/0,125W",C17552
"R14, R15",0402,2,"5,1k/62,5mW",C105872
"R16, R17, R18, R19, R2, R23, R25, R28",0402,8,"10k/62,5mW",C60490
R20,0402,1,"12,1k/62,5mW",C25852
"R21, R22",0402,2,"330R/62,5mW",C25104
"R24, R26, R29",0402,3,"1k/62,5mW",C11702
"R27, R30",0402,2,"680R/62,5mW",C25130
R3,0402,1,"180k/62,5mW",C138046
"R31, R32",0402,2,"2k2/62,5mW",C25879
R33,0402,1,"22R/62,5mW",C25092
R4,0603,1,"4,42k/100mW",C482858
R5,0402,1,"30,1k/62,5mW",C138009
R6,2512,1,"4,7k/1W",C878291
R7,1206,1,30mR/250mW,C473665
R8,0603,1,"5,1R/100mW",C25197
R9,0603,1,300k/100mW,C23024
"RN1, RN2",R_Array_Convex_4x0402,2,"4x2,2k/62,5mW",C728724
RN3,R_Array_Convex_4x0402,1,"4x49,9R/62,5mW",C136850
SW1,SW_SPST_Xunpu_TS1088AR02016,1,RESET,C720477
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,TPS2376DDAR-H,C544899
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,1,TX4138,C329267
U3,SOT-23-5_Shorter_Pins,1,SY8089A1AAC,C479074
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U5,ESP32-WROOM-32U,1,ESP32-WROOM-32UE-N16,C701346
U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,LAN8710A,C46185
U7,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31-DIS,
