Designator,Mid X,Mid Y,Rotation,Layer
C1,11.25,9.75,90.0,top
C10,6.5,53.0,180.0,top
C11,6.5,51.5,180.0,top
C12,23.25,41.5,0.0,top
C13,22.75,38.0,270.0,top
C14,24.5,38.5,270.0,top
C15,28.0,38.0,90.0,top
C16,15.0,40.0,180.0,top
C17,8.0,34.75,0.0,top
C18,12.75,34.5,180.0,top
C19,16.0,58.5,180.0,top
C2,7.25,24.5,180.0,top
C20,22.0,61.5,180.0,top
C21,22.5,63.25,180.0,top
C22,36.0,41.5,90.0,top
C23,39.5,32.75,0.0,top
C24,32.5,30.0,270.0,top
C25,40.75,36.5,0.0,top
C26,40.25,38.0,0.0,top
C27,38.75,25.25,0.0,top
C28,25.0,4.25,180.0,top
C29,89.0,35.75,270.0,top
C3,9.75,20.25,0.0,top
C30,49.75,56.25,180.0,top
C31,59.5,57.0,0.0,top
C32,49.25,48.25,180.0,top
C33,69.5,25.0,180.0,top
C34,73.0,25.0,180.0,top
C35,69.5,19.0,180.0,top
C36,73.0,19.0,180.0,top
C37,74.25,28.25,0.0,top
C38,74.25,15.75,0.0,top
C39,79.5,26.0,90.0,top
C4,8.25,5.0,180.0,top
C40,110.5,26.0,90.0,top
C41,79.5,63.25,90.0,top
C42,110.5,63.25,90.0,top
C43,89.5,19.0,0.0,top
C44,86.0,19.0,0.0,top
C45,89.5,25.0,0.0,top
C46,86.0,25.0,0.0,top
C47,84.75,15.75,180.0,top
C48,84.75,28.25,180.0,top
C49,100.5,25.0,180.0,top
C5,18.75,24.25,0.0,top
C50,104.0,25.0,180.0,top
C51,100.5,19.0,180.0,top
C52,104.0,19.0,180.0,top
C53,105.25,28.25,0.0,top
C54,105.25,15.75,0.0,top
C55,120.5,19.0,0.0,top
C56,117.0,19.0,0.0,top
C57,120.5,25.0,0.0,top
C58,117.0,25.0,0.0,top
C59,115.75,15.75,180.0,top
C6,51.25,58.75,180.0,top
C60,115.75,28.25,180.0,top
C61,69.5,62.25,180.0,top
C62,73.0,62.25,180.0,top
C63,69.5,56.25,180.0,top
C64,73.0,56.25,180.0,top
C65,74.25,65.5,0.0,top
C66,74.25,53.0,0.0,top
C67,89.5,56.25,0.0,top
C68,86.0,56.25,0.0,top
C69,89.5,62.25,0.0,top
C7,57.75,58.75,180.0,top
C70,86.0,62.25,0.0,top
C71,84.75,53.0,180.0,top
C72,84.75,65.5,180.0,top
C73,100.5,62.25,180.0,top
C74,104.0,62.25,180.0,top
C75,100.5,56.25,180.0,top
C76,104.0,56.25,180.0,top
C77,105.25,65.5,0.0,top
C78,105.25,53.0,0.0,top
C79,120.5,56.25,0.0,top
C8,64.0,64.0,180.0,top
C80,117.0,56.25,0.0,top
C81,120.5,62.25,0.0,top
C82,117.0,62.25,0.0,top
C83,115.75,53.0,180.0,top
